#,dist(asec),prob_member,link_ref,link_comment,identifier,typ,coord1_(ICRS_J2000/2000),Mag_U,Mag_B,Mag_V,Mag_R,Mag_I,spec_type,#bib,#not,RA,Dec
129,56.62,80,2010A&A...513A..16H,S,[HBE2010] s03b,XB?,19 53 43.62 +18 47 24.4,19.32,19.09,~,~,18.11,~,1,0,298.431749999,18.7901111111
130,136.84,96,2008A&A...486..941A,B,Cl* NGC 6838 ASC 78,*iC,19 53 53.5 +18 48 19,~,18.87,18.08,~,~,~,1,0,298.472916666,18.8052777777
131,175.53,100,2008ApJ...682.1217K,B,[KGS2008] J195358.6+184610,RG*,19 53 58.6 +18 46 10,~,16.53,15.70,~,14.74,~,1,0,298.494166666,18.7694444444
132,118.15,51,2008A&A...486..941A,B,Cl* NGC 6838 ASC 13,*iC,19 53 38.177 +18 46 49.76,~,15.54,14.08,~,~,~,9,0,298.409070833,18.7804888888
133,63.09,100,2011AJ....142..126S,B,[SLB2011b] 298.44854+18.76227,RG*,19 53 47.65 +18 45 44.2,~,15.12,14.22,~,13.23,~,7,0,298.448541666,18.7622777777
134,81.13,100,2001A&A...373..159C,B,2MASS J19534827+1848021,RG*,19 53 48.274 +18 48 02.17,~,14.080,12.346,~,~,~,33,0,298.451141666,18.8006027777
135,32.26,~,2008A&A...486..941A,B,Cl* NGC 6838 ASC 10218,*iC,19 53 44.6 +18 47 03,~,~,16.03,~,~,~,4,0,298.435833333,18.7841666666
136,68.26,~,2008A&A...486..941A,B,Cl* NGC 6838 ASC 387,*iC,19 53 45.0 +18 47 50,~,~,~,~,~,~,1,0,298.437499999,18.7972222222
137,103.77,94,2008A&A...486..941A,B,Cl* NGC 6838 ASC 242,*iC,19 53 39.2 +18 46 38,~,18.55,17.56,~,~,~,1,0,298.413333333,18.7772222222
138,66.78,~,2008A&A...486..941A,B,Cl* NGC 6838 ASC 7014,*iC,19 53 51.0 +18 47 04,~,~,~,~,~,~,1,0,298.4625,18.7844444444
139,36.15,0,2008A&A...486..941A,B,Cl* NGC 6838 KC 252,*iC,19 53 48.4 +18 47 09,~,16.07,15.38,~,~,~,2,0,298.451666666,18.7858333333
